ref,categorie,title,price,Expense,tags,description 1,description 2,description 3,description 4,description 5,description 6,description 7,image
 B4084600,rings,Love ring,1650.0,1650.0,yellow gold,Love ring, 18K yellow gold. Width: 5.5mm.,,,,,,/content/dam/rcq/car/58/71/74/587174.png
 B4084900,rings,Love ring,3650.0,3650.0,platinum,Love ring, 950/1000 platinum. Width: 5.5mm.,,,,,,/content/dam/rcq/car/19/43/98/1/1943981.png
 B4084800,rings,Love ring,1650.0,1650.0,pink gold,Love ring, 18K rose gold. Width: 5.5mm.,,,,,,/content/dam/rcq/car/10/28/64/0/1028640.png
 B4084700,rings,Love ring,1770.0,1770.0,white gold,Love ring, 18K white gold. Width: 5.5mm.,,,,,,/content/dam/rcq/car/10/28/63/6/1028636.png
 B4085000,rings,Love wedding band,1070.0,1070.0,yellow gold,Love wedding band, 18K yellow gold. Width: 3.6mm.,,,,,,/content/dam/rcq/car/59/18/04/591804.png
 B4085200,rings,Love wedding band,1070.0,1070.0,pink gold,Love wedding band, 18K rose gold. Width: 3.6mm.,,,,,,/content/dam/rcq/car/58/73/14/587314.png
 B4085100,rings,Love wedding band,1140.0,1140.0,white gold,Love wedding band, 18K white gold. Width: 3.6mm.,,,,,,/content/dam/rcq/car/59/22/21/592221.png
 B4085300,rings,Love wedding band,2380.0,2380.0,platinum,Love wedding band, 950/1000 platinum. Width: 3.6mm.,,,,,,/content/dam/rcq/car/62/40/10/624010.png
 B4032400,rings,"Love ring, 3 diamonds",3500.0,3500.0,"yellow gold, diamonds",Love ring, 18K yellow gold, set with 3 brilliant-cut diamonds totaling 0.22 carats. Width: 5.5mm.,,,,,/content/dam/rcq/car/58/47/16/584716.png
 B4087500,rings,"Love ring, 3 diamonds",3500.0,3500.0,"pink gold, diamonds",Love ring, 18K rose gold, set with 3 brilliant-cut diamonds totaling 0.22 carats. Width: 5.5mm.,,,,,/content/dam/rcq/car/58/39/70/583970.png
 B4032500,rings,"Love ring, 3 diamonds",3750.0,3750.0,"white gold, diamonds",Love ring, 18K white gold, set with 3 brilliant-cut diamonds totaling 0.22 carats. Width: 5.5mm.,,,,,/content/dam/rcq/car/58/36/97/583697.png
 B4056100,rings,"Love wedding band, 1 diamond",2020.0,2020.0,"yellow gold, diamond",Love wedding band, 18K yellow gold, set with 1 brilliant-cut diamonds totaling 0.02 carats. Width: 4mm.,,,,,/content/dam/rcq/car/63/23/97/632397.png
